FY,YJSD_R,A_TYPE,T_COUNT
FY200506,CENTRAL,COMMUNITY,"6,800"
FY200506,CENTRAL,OPEN,853
FY200506,CENTRAL,SECURE,937
FY200506,EASTERN,COMMUNITY,"2,999"
FY200506,EASTERN,OPEN,694
FY200506,EASTERN,SECURE,"1,689"
FY200506,NORTHERN,COMMUNITY,"1,999"
FY200506,NORTHERN,OPEN,853
FY200506,NORTHERN,SECURE,799
FY200506,WESTERN,COMMUNITY,"4,472"
FY200506,WESTERN,OPEN,"1,474"
FY200506,WESTERN,SECURE,"3,443"
FY200607,CENTRAL,COMMUNITY,"6,460"
FY200607,CENTRAL,OPEN,907
FY200607,CENTRAL,SECURE,745
FY200607,EASTERN,COMMUNITY,"2,905"
FY200607,EASTERN,OPEN,"1,498"
FY200607,EASTERN,SECURE,"1,737"
FY200607,NORTHERN,COMMUNITY,"2,072"
FY200607,NORTHERN,OPEN,878
FY200607,NORTHERN,SECURE,851
FY200607,WESTERN,COMMUNITY,"4,102"
FY200607,WESTERN,OPEN,954
FY200607,WESTERN,SECURE,"3,043"
FY200708,CENTRAL,COMMUNITY,"5,954"
FY200708,CENTRAL,OPEN,968
FY200708,CENTRAL,SECURE,586
FY200708,EASTERN,COMMUNITY,"2,815"
FY200708,EASTERN,OPEN,748
FY200708,EASTERN,SECURE,"1,591"
FY200708,NORTHERN,COMMUNITY,"2,098"
FY200708,NORTHERN,OPEN,917
FY200708,NORTHERN,SECURE,"1,011"
FY200708,WESTERN,COMMUNITY,"3,873"
FY200708,WESTERN,OPEN,"1,859"
FY200708,WESTERN,SECURE,"2,949"
FY200809,CENTRAL,COMMUNITY,"6,011"
FY200809,CENTRAL,OPEN,"1,103"
FY200809,CENTRAL,SECURE,645
FY200809,EASTERN,COMMUNITY,"2,585"
FY200809,EASTERN,OPEN,725
FY200809,EASTERN,SECURE,"1,425"
FY200809,NORTHERN,COMMUNITY,"2,117"
FY200809,NORTHERN,OPEN,773
FY200809,NORTHERN,SECURE,978
FY200809,WESTERN,COMMUNITY,"4,087"
FY200809,WESTERN,OPEN,"1,548"
FY200809,WESTERN,SECURE,"2,669"
FY200910,CENTRAL,COMMUNITY,"5,612"
FY200910,CENTRAL,OPEN,"1,453"
FY200910,CENTRAL,SECURE,998
FY200910,EASTERN,COMMUNITY,"2,261"
FY200910,EASTERN,OPEN,837
FY200910,EASTERN,SECURE,933
FY200910,NORTHERN,COMMUNITY,"1,923"
FY200910,NORTHERN,OPEN,925
FY200910,NORTHERN,SECURE,587
FY200910,WESTERN,COMMUNITY,"3,954"
FY200910,WESTERN,OPEN,"1,440"
FY200910,WESTERN,SECURE,"1,693"
FY201011,CENTRAL,COMMUNITY,"4,877"
FY201011,CENTRAL,OPEN,"1,491"
FY201011,CENTRAL,SECURE,886
FY201011,EASTERN,COMMUNITY,"2,156"
FY201011,EASTERN,OPEN,707
FY201011,EASTERN,SECURE,656
FY201011,NORTHERN,COMMUNITY,"1,803"
FY201011,NORTHERN,OPEN,875
FY201011,NORTHERN,SECURE,620
FY201011,WESTERN,COMMUNITY,"3,328"
FY201011,WESTERN,OPEN,"1,330"
FY201011,WESTERN,SECURE,"1,362"
FY201112,CENTRAL,COMMUNITY,"4,387"
FY201112,CENTRAL,OPEN,"1,159"
FY201112,CENTRAL,SECURE,"1,126"
FY201112,EASTERN,COMMUNITY,"1,912"
FY201112,EASTERN,OPEN,685
FY201112,EASTERN,SECURE,589
FY201112,NORTHERN,COMMUNITY,"1,687"
FY201112,NORTHERN,OPEN,782
FY201112,NORTHERN,SECURE,620
FY201112,WESTERN,COMMUNITY,"3,090"
FY201112,WESTERN,OPEN,"1,099"
FY201112,WESTERN,SECURE,"1,085"
,,,
